S. No.,Tests,category_id,Banglore_price,Description
234,"LV026 - LITHIUM, SERUM",BLOOD,430,2 ml Serum
235,"BI042 - MICROALBUMIN, 24 HRS URINE",URINE,500,24 Hrs.URINE
236,"PN227 - Nirogyam D Supra (CBC,  HbA1c, FBS, LIPID, LFT, KFT, IRON PROFILE, TFT, VIT D, VIT B12, ESR)",BLOOD,"2,000","SERUM, WB EDTA,
Plasma Fluoride"
237,LP021 - OPIATES / MORPHINE-URINE-RANDOM QUANTITATIVE,URINE,610,5 ml of Spot Urine
238,"BI094 - PHENYTOIN, SERUM",BLOOD,"1,100",SERUM
239,"P025 - PHOSPHOLIPID ANTIBODIES (IGM & IGG), SERUM",BLOOD,"1,430",SERUM
240,"PN235 - *PRE OPERATIVE PANEL - SL ( URINE ROUTINE,RPR,HCV,HBS AG,HIV CARD,GLUCOSE RANDOM,ABO & RH,CBC)",BLOOD,"2,000","WHOLE BLOOD EDTA, PLASMA FLUORIDE, SERUM, URINE"
241,AF122 - PROTEIN C ACTIVITY,BLOOD,"3,710",Citrated Platelet Poor plasma
242,AF123 - PROTEIN S ACTIVITY,BLOOD,"3,430",Citrated Platelet Poor plasma
243,"SE003 - *RHEUMATOID FACTOR (QUALITATIVE), SERUM",BLOOD,290,SERUM
244,"BI056 - SODIUM, SERUM",BLOOD,170,SERUM
245,"BI067 - THYROGLOBULIN ANTIBODY (ANTI TG), SERUM",BLOOD,"1,400",SERUM
246,"BI102 - THYROXINE(T4), SERUM",BLOOD,200,SERUM
247,"LM015 - TROPONIN-T, SERUM",BLOOD,"1,470",Serum
248,"BI108 - VALPROIC ACID, SERUM",BLOOD,950,SERUM
249,"IM001 - 17- ALPHA- HYDROXY PROGESTERONE, SERUM",BLOOD,"1,150",SERUM
250,"BI001 - ALBUMIN,SERUM",BLOOD,140,SERUM
251,"BI063 - ALPHA FETO PROTEIN(AFP),MATERNAL SERUM",BLOOD,825,SERUM
252,"AF500 - ANA, IFA REFLEX 17 ANTIGENS IMMUNOBLOT, SERUM",BLOOD,"2,710",3 ml Serum
253,"CPN1027 - ANAEMIA SCREEN PANEL (CBC ,Vit B12, Iron &  TIBC)",BLOOD,800,"WHOLE BLOOD EDTA, SERUM"
254,"PN234 - *ANTENATAL PANEL - 1 SL (CBC,Blood Group, RBS, TSH, HIV, HBsAg, RPR, URINE ROUTINE)",BLOOD,"1,100","PLASMA FLUORIDE, SERUM, WB EDTA, URINE"
255,"SE001 - *ANTI STREPTOLYSIN O (QUALITATIVE),SERUM",BLOOD,400,SERUM
256,"P019 - APOLIPOPROTEIN-A1 & B, INCLUDES APO A1 & B RATIO",BLOOD,"1,540",FASTING SERUM
257,"PN038 - ARTHRITIS PANEL 2 ( CBC, ESR, CRP, RA FACTOR, ANA, URIC ACID, ASO, URINE R/M, ANTI CCP)",BLOOD,"2,750","SERUM, WB EDTA, URINE"
258,"LP008 - ASPERGILLUS IGM ANTIBODIES, SERUM",BLOOD,"2,000",3 ml of Serum
259,"LV020 - BENCE JONES PROTEIN, URINE",URINE,930,"10 ml Spot Or 24 hrs
Urine"
260,"BI073 - CA - 15.3, CANCER MARKER, SERUM",BLOOD,"1,250",SERUM
261,LM003 - CARDIOLIPIN (ACL) IGA ANTIBODIES,BLOOD,860,3 ml of Serum
262,"CP002 - CEREBROSPINAL FLUID, ROUTINE EXAMINATION",BLOOD,430,CSF
263,"LQ043 - CERULOPLASMIN, SERUM",BLOOD,"1,040",Serum
264,AF254 - CHLAMYDIA PNEUMONIAE IGM ANTIBODIES,BLOOD,"1,760",3 ml of Serum
265,"BI016 - CHOLESTEROL HDL, SERUM",BLOOD,230,"FASTING SERUM (12-
14 Hrs.)"
266,"CPN1032 - Coagulation Panel-(PT,APTT, Platlet count )",BLOOD,500,"CITRATE PLASMA, EDTA WHOLE BLOOD"
267,"CPN1031 - Coagulation Profile Basic  -(PT,APTT)",BLOOD,400,"CITRATE PLASMA,"
268,"BI022 - COMPLEMENT C4, SERUM",BLOOD,730,SERUM
269,"AF508 - CPK, MB FRACTION (MASS), SERUM",BLOOD,610,Serum
270,"SE002 - *C-REACTIVE PROTEIN (QUALITATIVE), SERUM",BLOOD,350,SERUM
271,"BI023 - CREATININE, 24 HRS URINE",URINE,210,"24 Hrs. URINE, Plain"
272,"IM010 - CYTOMEGALOVIRUS IGM, SERUM",BLOOD,580,SERUM
273,LM004 - DEHYDROEPIANDROSTERONE (DHEA),BLOOD,"2,390",Serum
274,"IM013 - DENGUE EARLY ANTIGEN (NS1 ANTIGEN), SERUM",BLOOD,990,SERUM
275,"IM012 - DENGUE IGM ANTIBODIES, SERUM",BLOOD,935,SERUM
276,LV092 - DIGOXIN (LANOXIN),BLOOD,860,Serum
277,"LQ111 - DRUG OF ABUSE, 5 DRUGS - Qualitative(AMPHETAMINES, COCAINE, MARIJUANA, OPIATES (2000), PHENCYCLIDINE, URINE CREATININE)",URINE,"2,500",URINE
278,MI208 - ENVIORMENTAL MONITORING - 10 SWABS,SWAB,"2,000",SWAB
279,LV012 - ERYTHROPOIETIN-EPO,BLOOD,"1,900",Serum
280,"LP005 - FIBRINOGEN,",BLOOD,860,"Citrated Platelet Poor
plasma"
281,MI209 - FUNGAL CULTURE & STAIN (OTHER THAN BLOOD),Others,"1,100","Any Specimen; CSF (2ML) in a red top tube or screw capped vial. (ship at Ambient temperature) Bone marrow:
2ML (0.5ML minimum) in 1 green top (sodium heparin) tube.
Pus/Aspirates/Semen/Sto ol in sterile screw capped container. (1 ML/1gm minimum; ship refirgerated); Endometrial Curretings/tissue: Sterile screw capped container in normal saline (ship Refrigerated); Swabs: in Amies Transport medium (ship Refrigerated); Sputum/URINE (5-10 ML sputum and 10 ML  (5ML minimum) URINE in sterile screw capped container (ship Refrigerated); Skin: 2- 3 mm scraping from the peripheries of active lesion in sterile container. (ship at Ambient temperature); Hair: 10-12
Plucked from root in a sterile container. (ship at Ambient); Nail: clippings and powdery material from affected area of nail preferably in black paper (to have
contrast).(ship at Ambient)"
282,MI038 - FUNGAL SMEAR EXAMINATION,SPUTUM/URINE,180,"SPUTUM/ALL BODYFLUIDS/URINE
/CSF/ASPIRATES/NAI L SCRAPPING, SKIN SCRAPPING, PREPARED SLIDES,
etc"
283,LV112 - GAD ANTIBODY,BLOOD,"4,860",3 ml Serum
284,"BI026 - GLUCOSE CHALLENGE TEST(GCT),PLASMA",BLOOD,180,PLASMA FLUORIDE
285,"PN068 - HERPES SIMPLEX 1+2 VIRUS (HSV), ANTIBODIES PANEL (HSV 1+2 IGG &IGM)",BLOOD,750,SERUM
286,"IM030 - HERPES SIMPLEX VIRUS 1 IGG, SERUM",BLOOD,600,SERUM
287,"IM031 - HERPES SIMPLEX VIRUS 1 IGM, SERUM",BLOOD,600,SERUM
288,LM059 - HIV-2 RNA DETECTION BY REAL TIME PCR,BLOOD,"3,610",EDTA Plasma
289,"BI034 - IMMUNOGLOBULIN M (IGM), SERUM",BLOOD,440,SERUM
290,"PN069 - IMMUNOGLOBULIN PROFILE, SERUM (IMMUNOGLOBULIN IGG, IMMUNOGLOBULIN IGM, IMMUNOGLOBULIN IGA",BLOOD,990,SERUM
291,"AF338 - LEPTOSPIRA ANTIBODY, IGG, SERUM",BLOOD,"1,140",Serum
292,LV128 - LIVER KIDNEY MICROSOME AUTOANTIBODIES,BLOOD,"1,760",Serum
293,"LQ076 - LUPUS ANTICOAGULANT PROFILE- APTT, MIXING
STUDIES, SCREENING (DRVVT), CONFIRMATION, PLASMA",BLOOD,"1,810",Citrated  Platelet Poorplasma
294,"LV161 - MEASLES (RUBEOLA) ANTIBODY, IGG, SERUM",BLOOD,"1,530",Serum
295,"LV162 - MEASLES (RUBEOLA) ANTIBODY, IGM, SERUM",BLOOD,"1,530",Serum
296,"LV133 - MUMPS VIRUS ANTIBODY, IGG, SERUM",BLOOD,"1,530",Serum
297,"LV134 - MUMPS VIRUS ANTIBODY, IGM, SERUM",BLOOD,"1,530",Serum
298,"LM018 - MYOGLOBIN, URINE",BLOOD,"2,000",Serum
299,LQ085 - PAP TEST BY LIQUID BASED CYTOLOGY,BLOOD,960,"Material In LBC
Container"
300,"BI118 - PHOSPHORUS (INORGANIC), RANDOM URINE",RANDOM URINE,210,RANDOM URINE
301,"PN046 - PRE OPERATIVE PANEL ( CBC, BLOOD GROUP, RANDOM BLOOD SUGAR, HIV 1&2, HBSAG, HCV, RPR (VDRL), URINE R/M )",BLOOD,"1,450","SERUM, WB EDTA, PLASMA FLUORIDE URINE"
302,"P035 - PSA PROFILE - SERUM, ( PSA TOTAL, PSA FREE, PSA FREE: TOTAL %)",BLOOD,"1,375",SERUM
303,H204 - RH ANTIBODY TITER,BLOOD,715,SERUM
304,"BI100 - SEX HORMONE BINDING GLOBULIN(SHBG),SERUM",BLOOD,"2,100",SERUM
305,H203 - SICKLING TEST,BLOOD,330,WHOLE  BLOOD EDTA
306,"CP005 - SYNOVIAL FLUID , ROUTINE EXAMINATION",SYNOVIAL FLUID,395,SYNOVIAL FLUID
307,"PN231 - THROMBOPHILEA PANEL (ANA, ANTI DSDNA, C3, C4, ANTITHROMBIN III, CARDIOLIPIN IGM, CARDIOLIPIN IGG, PHOSPHOLIPID IGM, PHOSPHOLIPID IGG, FACTOR V LEIDEN, PROTEIN C, PROTEIN S, LUPUS ANTICOAGULANT)",BLOOD,"17,000","SERUM, WHOLE BLOOD EDTA, CITRATED PLASMA"
308,LQ0128 - THYROGLOBULIN,BLOOD,"1,470",Serum
309,"IM038 - TOXOPLASMA IGG, SERUM",BLOOD,520,SERUM
310,CP014 - URINE PREGNANCY TEST (UPT),URINE,200,URINE
311,CP015 - URINE PROTEIN,URINE,85,URINE
312,"LV033 - VITAMIN D, 1,25 DIHYDROXY SERUM",BLOOD,"3,040",Serum
313,NBS004 - 17-ALPHA HYDROXYPROGESTERONE (17-OHP) NEONATAL SCREENING,BLOOD,430,DRIED BLOOD SPOT
314,"LV043 - 17-KETOSTEROIDS,URINE 24H",BLOOD,"3,330","15 ml of 24 hrs Urine. Preservative 10 ml of 6N
HCL"
315,"LV044 - 5-HYDROXY INDOLE ACETIC ACID (HIAA), URINE 24H",BLOOD,"2,670",15 ml of 24 hrs Urine. Preservative 10 ml of 6N HCL
316,"H002 - ABSOLUTE LYMPHOCYTE COUNT (ALC), BLOOD",BLOOD,145,"WHOLE  BLOOD
EDTA"
317,"H003 - ABSOLUTE NEUTROPHIL COUNT (ANC), BLOOD",BLOOD,145,"WHOLE  BLOOD
EDTA"
318,"AF186 - ACETONE, SERUM",BLOOD,"2,960",2 ml Serum
319,"AF187 - ACETONE, URINE",BLOOD,100,20 ml of Spot Urine
320,"AF187 - ACETYLCHOLINE RECEPTOR BINDING
ANTIBODY,SERUM",BLOOD,"2,960",3 ml Serum
321,AF188 - ACTIVATED PROTEIN C RESISTANCE,BLOOD,"3,900",2 ml of Platelet Poor Citrated Plasma
322,"BI202S - ADENOSINE DEAMINASE, SERUM ADA",BLOOD,660,SERUM
323,"AF191 - ADENOVIRUS DNA DETECTION, PCR",BLOOD,"5,950","Eye Swab/ Nasal Swab/ Oral Swab/
Respiratory Fluid"
324,"AF189 - ADENOVIRUS IGG, SERUM",BLOOD,"2,130",3 ml of Serum
325,"AF190 - ADENOVIRUS IGM, SERUM",BLOOD,"2,130",3 ml of Serum
326,LV047 - ADRENALINE (EPINEPHRINE) URINE 24H,BLOOD,"2,760","10 ml of 24 Hours Urine.
Use 10 ml of 6 N HCL Or Glacial Acetic Acid"
327,"MI019 - AFB  ANTIBIOTIC SUSCEPTIBILITY,   RIFABUTIN",BLOOD,"2,500",PURE GROWTH OF
328,"MI005 - AFB  ANTIBIOTIC SUSCEPTIBILITY, 5 DRUGS",BLOOD,"5,000",PURE GROWTH OF TB - BACILLI
329,"MI006 - AFB  ANTIBIOTIC SUSCEPTIBILITY, AMIKACIN",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
330,"MI007 - AFB  ANTIBIOTIC SUSCEPTIBILITY, CAPREOMYCIN",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
331,"MI009 - AFB  ANTIBIOTIC SUSCEPTIBILITY, ETHAMBUTOL",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
332,"MI010 - AFB  ANTIBIOTIC SUSCEPTIBILITY, ETHIONAMIDE",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
333,"MI011 - AFB  ANTIBIOTIC SUSCEPTIBILITY, ISONIAZID",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
334,"MI012 - AFB  ANTIBIOTIC SUSCEPTIBILITY, KANAMYCIN",BLOOD,"2,100",PURE GROWTH OF TB - BACILLI
335,"MI013 - AFB  ANTIBIOTIC SUSCEPTIBILITY, LEVOFLOXACIN",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
336,"MI014 - AFB  ANTIBIOTIC SUSCEPTIBILITY, LINEZOLID",BLOOD,"2,500",PURE GROWTH OF TB - BACILLI
337,"MI016 - AFB  ANTIBIOTIC SUSCEPTIBILITY, OFLOXACIN",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
338,"MI018 - AFB  ANTIBIOTIC SUSCEPTIBILITY, PYRAZINAMIDE",BLOOD,"2,500",PURE GROWTH OF TB - BACILLI
339,"MI020 - AFB  ANTIBIOTIC SUSCEPTIBILITY, RIFAMPICIN",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
340,"MI021 - AFB  ANTIBIOTIC SUSCEPTIBILITY, STREPTOMYCIN",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
341,"MI017 - AFB  SUSCEPTIBILITY, PAS",BLOOD,"2,200",PURE GROWTH OF TB - BACILLI
342,"MI003 - AFB ANTIBIOTIC SUSCEPTIBILITY, 10 DRUGS",BLOOD,"9,500",PURE GROWTH OF TB - BACILLI
343,"MI004 - AFB ANTIBIOTIC SUSCEPTIBILITY, 15 DRUGS",BLOOD,"14,190",PURE GROWTH OF TB - BACILLI
344,"MI015 - AFB SUSCEPTIBILITY, MOXIFLOXACIN",BLOOD,"2,500",PURE GROWTH OF TB - BACILLI
345,"BI002 - ALBUMIN, FLUID",BLOOD,130,"BODY FLUID, PLEURAL FLUID, PERITONIAL, PERICARDIAL/ ASCITIC"
346,"AF102 - ALCOHOL (ETHANOL), SERUM",BLOOD,900,2 ml of Serum
347,"LQ002 - ALCOHOL (ETHANOL), URINE",BLOOD,"1,140","10 ml of Spot Urine In A Leak
Proof
Container"
348,"AF041 - ALDOLASE, SERUM",BLOOD,900,2 ml Serum
349,AF177 - ALDOSTERONE / PLASMA RENIN DIRECT RATIO,BLOOD,"9,210","2 ml of EDTA Plasma and 2
ml Serum"
350,"LV048 - ALDOSTERONE, SERUM",BLOOD,"1,860","3 ml Serum (Mention The
Position)"
351,"AF053 - ALDOSTERONE, URINE 24H",BLOOD,"2,100",15 ml of 24 Hrs Urine. Preservative- 15 gm Boric Acid
352,"AF194 - ALKALINE PHOSPHATASE ISOENZYMES, SERUM",BLOOD,"7,090",3 ml Serum
353,"LM013 - ALKALINE PHOSPHATASE, BONE-SPECIFIC (BSAP), SERUM",BLOOD,"1,530",2 ml Serum
354,"AL001 - Allergen, Individual-Animal Cat Dander",BLOOD,"1,500",Serum
355,"AL002 - Allergen, Individual-Animal Chicken Feather",BLOOD,"1,500",Serum
356,"AL003 - Allergen, Individual-Animal Cow Dander",BLOOD,"1,500",Serum
357,"AL004 - Allergen, Individual-Animal Dog Dander",BLOOD,"1,500",Serum
358,"AL005 - Allergen, Individual-Animal Goat Epithelium",BLOOD,"1,500",Serum
359,"AL006 - Allergen, Individual-Animal Guinea Pig Epithelium",BLOOD,"1,500",Serum
360,"AL007 - Allergen, Individual-Animal Hamster Epithelium",BLOOD,"1,500",Serum
361,"AL008 - Allergen, Individual-Animal Horse Dander",BLOOD,"1,500",Serum
362,"AL009 - Allergen, Individual-Animal Mouse Epithelium",BLOOD,"1,500",Serum
363,"AL010 - Allergen, Individual-Animal Parrot Feather",BLOOD,"1,500",Serum
364,"AL011 - Allergen, Individual-Animal Pigeon feathers",BLOOD,"1,500",Serum
365,"AL012 - Allergen, Individual-Animal Rabbit epithelium",BLOOD,"1,500",Serum
366,"AL013 - Allergen, Individual-Animal Rat Epithelium",BLOOD,"1,500",Serum
367,"AL014 - Allergen, Individual-Animal Swine Epithelium",BLOOD,"1,750",Serum
368,"AL015 - Allergen, Individual-Drug ACTH",BLOOD,"1,750",Serum
369,"AL016 - Allergen, Individual-Drug Amoxicillin antibiotic",BLOOD,"1,750",Serum
370,"AL017 - Allergen, Individual-Drug Ampicillin antibiotic",BLOOD,"1,750",Serum
371,"AL018 - Allergen, Individual-Drug Azithromycin antibiotic",BLOOD,"1,750",Serum
372,"AL019 - Allergen, Individual-Drug Cefuroxime antibiotic",BLOOD,"1,750",Serum
373,"AL020 - Allergen, Individual-Drug Cephalosporin Mix antibiotic",BLOOD,"1,750",Serum
374,"AL021 - Allergen, Individual-Drug Ciprofloxacin antibiotic",BLOOD,"1,750",Serum
375,"AL022 - Allergen, Individual-Drug Diclofenac pain killer",BLOOD,"1,750",Serum
376,"AL023 - Allergen, Individual-Drug Disprin (Aspirin) pain killer",BLOOD,"1,750",Serum
377,"AL024 - Allergen, Individual-Drug Ibuprofen pain killer",BLOOD,"1,750",Serum
378,"AL025 - Allergen, Individual-Drug Insulin Bovine",BLOOD,"1,750",Serum
379,"AL026 - Allergen, Individual-Drug Insulin Human",BLOOD,"1,750",Serum
380,"AL027 - Allergen, Individual-Drug Insulin Porcine",BLOOD,"1,750",Serum
381,"AL028 - Allergen, Individual-Drug Mefenemic Acid pain killer",BLOOD,"1,750",Serum
382,"AL029 - Allergen, Individual-Drug Methyl Paraben Anaethesia",BLOOD,"1,750",Serum
383,"AL030 - Allergen, Individual-Drug Metronidazole antibiotic",BLOOD,"1,750",Serum
384,"AL031 - Allergen, Individual-Drug Mono sodium glutamate",BLOOD,"1,750",Serum
385,"AL032 - Allergen, Individual-Drug Nimesulide pain killer",BLOOD,"1,750",Serum
386,"AL033 - Allergen, Individual-Drug Paracetamol AntiPyretic",BLOOD,"1,750",Serum
387,"AL034 - Allergen, Individual-Drug Penicilloyl G antibiotic",BLOOD,"1,750",Serum
388,"AL035 - Allergen, Individual-Drug Penicilloyl V antibiotic",BLOOD,"1,750",Serum
389,"AL036 - Allergen, Individual-Drug Rifampicin antibiotic",BLOOD,"1,750",Serum
390,"AL037 - Allergen, Individual-Drug Sulpha antibiotic",BLOOD,"1,750",Serum
391,"AL038 - Allergen, Individual-Drug Tetracycline antibiotic",BLOOD,"1,750",Serum
392,"AL039 - Allergen, Individual-Drug Xylocaine Anaesthetic drug",BLOOD,"1,750",Serum
393,"AL040 - Allergen, Individual-Dust Dermatophagoides Farinae House Dust Mite",BLOOD,"1,500",Serum
394,"AL041 - Allergen, Individual-Dust Dermatophagoides Pteronyssinus House Dust Mite",BLOOD,"1,500",Serum
395,"AL042 - Allergen, Individual-Dust Flourdust",BLOOD,"1,500",Serum
396,"AL043 - Allergen, Individual-Dust House Dust - Hollistier",BLOOD,"1,500",Serum
397,"AL044 - Allergen, Individual-Dust House Dust Greer Labs",BLOOD,"1,500",Serum
398,"AL045 - Allergen, Individual-Food Almond Badam (Amygdalus
Communis)",BLOOD,"1,500",Serum
399,"AL046 - Allergen, Individual-Food Alpha Lactalbumin Milk
protein",BLOOD,"1,750",Serum
400,"AL047 - Allergen, Individual-Food Apple Safarchand (Malus X
Domestica)",BLOOD,"1,500",Serum
401,"AL048 - Allergen, Individual-Food Apricot Prunus armeniaca",BLOOD,"1,500",Serum
402,"AL049 - Allergen, Individual-Food Asparagus Asparagus
officinalis",BLOOD,"1,500",Serum
403,"AL050 - Allergen, Individual-Food Baingan (Brinjal (Aubergine,
eggplant / Solanum melongena)",BLOOD,"1,500",Serum
404,"AL051 - Allergen, Individual-Food Bakers Yeast Yeast ( Saccharomyces Cerevisiae)",BLOOD,"1,500",Serum
405,"AL052 - Allergen, Individual-Food Banana Kela (Musa Spp.)",BLOOD,"1,500",Serum
406,"AL053 - Allergen, Individual-Food Barley Hordeum vulgare",BLOOD,"1,500",Serum
407,"AL054 - Allergen, Individual-Food Basil Ocimum basilicum",BLOOD,"1,500",Serum
408,"AL055 - Allergen, Individual-Food Bayleaf Laurus nobilis",BLOOD,"1,500",Serum
409,"AL056 - Allergen, Individual-Food Beef Cow meat (Bos spp.)",BLOOD,"1,500",Serum
410,"AL057 - Allergen, Individual-Food Beta Lactoglobulin Milk
protein",BLOOD,"1,750",Serum
411,"AL058 - Allergen, Individual-Food Black Pepper Piper nigrum",BLOOD,"1,500",Serum
412,"AL059 - Allergen, Individual-Food Blue Mussel Mytilus Edulis",BLOOD,"1,500",Serum
413,"AL060 - Allergen, Individual-Food Brazil Nut Bertholletia excelsa",BLOOD,"1,500",Serum
414,"AL061 - Allergen, Individual-Food Broccoli Brassica oleracea
var. italica",BLOOD,"1,500",Serum
415,"AL062 - Allergen, Individual-Food Buckwheat Fagopyrum
esculentum",BLOOD,"1,500",Serum
416,"AL063 - Allergen, Individual-Food Cabbage Gobi (Brassica Oleraceavar.Capitata)",BLOOD,"1,500",Serum
417,"AL064 - Allergen, Individual-Food Cardamon (Ilaichi) Elettaria cardamomum",BLOOD,"1,500",Serum
418,"AL065 - Allergen, Individual-Food Carrot Daucus carota",BLOOD,"1,500",Serum
419,"AL066 - Allergen, Individual-Food Casein (Milk Protein) Dahi",BLOOD,"1,750",Serum
420,"AL067 - Allergen, Individual-Food Cashew Nut Kaju (
Anacardium Occidentale)",BLOOD,"1,500",Serum
421,"AL068 - Allergen, Individual-Food Cauliflower Brassica oleracea
var. botrytis",BLOOD,"1,500",Serum
422,"AL069 - Allergen, Individual-Food Celery Apium Graveolens",BLOOD,"1,500",Serum
423,"AL070 - Allergen, Individual-Food Cheese Cheddar",BLOOD,"1,500",Serum
424,"AL071 - Allergen, Individual-Food Cherry Prunus avium",BLOOD,"1,500",Serum
425,"AL072 - Allergen, Individual-Food Chick Pea Kabuli Chana (Cicer
Arietinus)",BLOOD,"1,500",Serum
426,"AL073 - Allergen, Individual-Food Chicken Meat Murgi",BLOOD,"1,500",Serum
427,"AL074 - Allergen, Individual-Food Chilipepper Capsicum
frutescens",BLOOD,"1,500",Serum
428,"AL075 - Allergen, Individual-Food Cinnamon (Dalchini) Spice",BLOOD,"1,500",Serum
429,"AL076 - Allergen, Individual-Food Clove (laung) (Syzygium aromaticum)",BLOOD,"1,500",Serum
430,"AL077 - Allergen, Individual-Food Cocoa Chocolate (Theobroma Cacao)",BLOOD,"1,500",Serum
431,"AL078 - Allergen, Individual-Food Coconut Narial (Cocos Nucifera)",BLOOD,"1,500",Serum
432,"AL079 - Allergen, Individual-Food Cod Fish Machhli (Gadus
Morhua)",BLOOD,"1,500",Serum
433,"AL080 - Allergen, Individual-Food Coffee",BLOOD,"1,500",Serum
434,"AL081 - Allergen, Individual-Food Coriander (dhania) Spice",BLOOD,"1,500",Serum
435,"AL082 - Allergen, Individual-Food Corn / Maize Makka (Zea
Mays)",BLOOD,"1,500",Serum
436,"AL083 - Allergen, Individual-Food Cow Milk Doodh",BLOOD,"1,500",Serum
437,"AL084 - Allergen, Individual-Food Crab Cancer pagurus",BLOOD,"1,500",Serum
438,"AL085 - Allergen, Individual-Food Cucumber kakdi (Cucumis
sativus)",BLOOD,"1,500",Serum
439,"AL086 - Allergen, Individual-Food Cumin",BLOOD,"1,500",Serum
440,"AL087 - Allergen, Individual-Food Curry Santa Maria",BLOOD,"1,500",Serum
441,"AL088 - Allergen, Individual-Food Date khajur (Phoenix canariensis)",BLOOD,"1,500",Serum
442,"AL089 - Allergen, Individual-Food Egg White Anda",BLOOD,"1,500",Serum
443,"AL090 - Allergen, Individual-Food Egg Yolk Anda",BLOOD,"1,500",Serum
444,"AL091 - Allergen, Individual-Food Fennel Foeniculum vulgare",BLOOD,"1,500",Serum
445,"AL092 - Allergen, Individual-Food Fig Ficus carica",BLOOD,"1,500",Serum
446,"AL093 - Allergen, Individual-Food Garlic Lehsoon (Allium
Sativum)",BLOOD,"1,500",Serum
447,"AL094 - Allergen, Individual-Food Ginger Adarakh (Zingiber
officinale)",BLOOD,"1,500",Serum
448,"AL095 - Allergen, Individual-Food Gluten",BLOOD,"1,500",Serum
449,"AL096 - Allergen, Individual-Food Grape Angoor (Vitis vinifera)",BLOOD,"1,500",Serum
450,"AL097 - Allergen, Individual-Food Grapefruit Citrus paradisi",BLOOD,"1,500",Serum
451,"AL098 - Allergen, Individual-Food Green Bean Phaseolus
vulgaris",BLOOD,"1,500",Serum
452,"AL099 - Allergen, Individual-Food Green Pea",BLOOD,"1,500",Serum
453,"AL100 - Allergen, Individual-Food Green pepper unripe seed / Piper nigrum",BLOOD,"1,500",Serum
454,"AL101 - Allergen, Individual-Food Hazelnut Corylus avellana",BLOOD,"1,500",Serum
455,"AL102 - Allergen, Individual-Food Herring Clupea harengus",BLOOD,"1,500",Serum
456,"AL103 - Allergen, Individual-Food Kiwi Fruit Actinidia deliciosa",BLOOD,"1,500",Serum
457,"AL104 - Allergen, Individual-Food Lady Finger bhindi",BLOOD,"1,500",Serum
458,"AL105 - Allergen, Individual-Food Lamb",BLOOD,"1,500",Serum
459,"AL106 - Allergen, Individual-Food Legume mix (Fx32) (Lentil,
Pea, White Bean)",BLOOD,"1,500",Serum
460,"AL107 - Allergen, Individual-Food Lemon Nimbu (Citrus Limon)",BLOOD,"1,500",Serum
461,"AL108 - Allergen, Individual-Food Lentil Masoor Dal (Lens
Esculenta)",BLOOD,"1,500",Serum
462,"AL109 - Allergen, Individual-Food Lettuce Lactuca sativa",BLOOD,"1,500",Serum
463,"AL110 - Allergen, Individual-Food Lobster Homarus gammarus",BLOOD,"1,500",Serum
464,"AL111 - Allergen, Individual-Food Macerel Bangada (Scomber scombrus)",BLOOD,"1,500",Serum
465,"AL112 - Allergen, Individual-Food Malt",BLOOD,"1,500",Serum
466,"AL113 - Allergen, Individual-Food Mango Mangifera Indica",BLOOD,"1,500",Serum
467,"AL114 - Allergen, Individual-Food Melon (Cucumis melo spp.)",BLOOD,"1,500",Serum
468,"AL115 - Allergen, Individual-Food Mint Mentha piperita",BLOOD,"1,500",Serum
469,"AL116 - Allergen, Individual-Food Moong dal",BLOOD,"1,500",Serum
470,"AL117 - Allergen, Individual-Food Mushroom champignon /
Agaricus hortensis",BLOOD,"1,500",Serum
471,"AL118 - Allergen, Individual-Food Mustard Sarson (Brassica /
Sinapsis Spp.)",BLOOD,"1,500",Serum
472,"AL119 - Allergen, Individual-Food Mutton Ovis Spp.",BLOOD,"1,500",Serum
473,"AL120 - Allergen, Individual-Food Oat Avena sativa",BLOOD,"1,500",Serum
474,"AL121 - Allergen, Individual-Food Olive Olea Europaea",BLOOD,"1,500",Serum
475,"AL122 - Allergen, Individual-Food Onion Piaz (Allium Cepa)",BLOOD,"1,500",Serum
476,"AL123 - Allergen, Individual-Food Orange santra (Citrus sinensis)",BLOOD,"1,500",Serum
477,"AL124 - Allergen, Individual-Food Oyster Ostrea edulis",BLOOD,"1,500",Serum
478,"AL125 - Allergen, Individual-Food Papaya Carica Papaya",BLOOD,"1,500",Serum
479,"AL126 - Allergen, Individual-Food Paprica Simla Mirchi (Capsicum Annuum)",BLOOD,"1,500",Serum
480,"AL127 - Allergen, Individual-Food Parsley Petroselinum crispum",BLOOD,"1,500",Serum
481,"AL128 - Allergen, Individual-Food Peach Prunus persica",BLOOD,"1,500",Serum
482,"AL129 - Allergen, Individual-Food Peanut Moongfali (Arachis
Hypogaea)",BLOOD,"1,500",Serum
483,"AL130 - Allergen, Individual-Food Pear Pyrus communis",BLOOD,"1,500",Serum
